
 num     #instances         #bytes  class name
----------------------------------------------
   1:      69242389     6224782816  [C
   2:      68094837     2179034784  java.lang.String
   3:      66508421     2128269472  org.apache.hadoop.hdds.protocol.DatanodeDetails$Port
   4:      66874764     1604994336  java.lang.Integer
   5:       9501203     1596202104  org.apache.hadoop.hdds.protocol.DatanodeDetails
   6:      23086436     1292840416  java.lang.ThreadLocal$ThreadLocalMap$Entry
   7:      13492880     1285700240  [Ljava.lang.Object;
   8:         59124      732833144  [I
   9:       5172098      689917680  [B
  10:      12632248      505289920  java.util.ArrayList
  11:           822      420577168  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
  12:       9662886      309212352  java.util.UUID
  13:       2733230       87463360  com.google.protobuf.LiteralByteString
  14:       1112119       71175616  java.util.LinkedHashMap$Entry
  15:        775981       62078480  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OzoneAclInfo
  16:       1876537       61754528  [J
  17:        391127       60663064  [Ljava.util.HashMap$Node;
  18:       1850386       59212352  java.util.BitSet
  19:         35043       51863640  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMResponse$Builder
  20:        725390       46424960  org.apache.hadoop.hdds.protocol.proto.HddsProtos$Port
  21:        262144       46137344  org.apache.logging.log4j.core.async.RingBufferLogEvent
  22:        575404       46032320  java.nio.DirectByteBuffer
  23:        925267       44412816  org.apache.hadoop.ozone.OzoneAcl
  24:        503253       44286264  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OzoneAclInfo$Builder
  25:        651564       41700096  java.util.HashMap
  26:        352973       31061624  java.util.LinkedHashMap
  27:        770384       30815360  com.google.protobuf.UnknownFieldSet$Builder
  28:        763261       30530440  java.util.LinkedList$Node
  29:         35044       28595904  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMRequest
  30:         35049       27478416  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMResponse
  31:         17521       27052424  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$OMRequest$Builder
  32:        804073       25730336  org.apache.ratis.server.protocol.TermIndex$1
  33:        804065       25730080  org.apache.ratis.server.raftlog.LogEntryHeader$1
  34:        804065       25730080  org.apache.ratis.server.raftlog.segmented.LogSegment$LogRecord
  35:        275891       22071280  java.util.stream.ReferencePipeline$Head
  36:         79409       19058160  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$BucketInfo$Builder
  37:        430910       17236400  java.util.ArrayList$Itr
  38:        510155       16324960  org.apache.hadoop.metrics2.util.SampleQuantiles$SampleItem
  39:        502947       16094304  java.util.Collections$UnmodifiableRandomAccessList
  40:           469       16066984  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  41:         79410       15882000  org.apache.hadoop.ozone.protocol.proto.OzoneManagerProtocolProtos$BucketInfo
  42:        274994       15399664  java.util.stream.Collectors$CollectorImpl
  43:        274994       15399664  java.util.stream.ReduceOps$3
  44:        190642       15251360  java.nio.DirectByteBufferR
  45:        140626       13500096  org.apache.hadoop.hdds.scm.pipeline.Pipeline
  46:        103628       13264384  org.apache.hadoop.hdds.protocol.proto.HddsProtos$DatanodeDetailsProto
